iter	Passed	Remaining
679	46177	70692
680	46242	70619
681	46311	70553
682	46376	70481
683	46446	70416
684	46514	70348
685	46582	70281
686	46648	70211
687	46724	70154
688	46797	70094
689	46869	70032
690	46940	69968
691	47010	69904
692	47079	69838
693	47146	69768
694	47214	69700
695	47278	69627
696	47349	69564
697	47420	69500
698	47489	69433
699	47558	69367
700	47628	69302
701	47701	69241
702	47772	69178
703	47846	69119
704	47920	69059
705	47993	68999
706	48068	68941
707	48136	68873
708	48202	68803
709	48270	68734
710	48337	68664
711	48411	68605
712	48480	68538
713	48548	68470
714	48615	68402
715	48689	68341
716	48760	68278
717	48832	68216
718	48896	68142
719	48966	68077
720	49032	68006
721	49098	67934
722	49166	67867
723	49231	67795
724	49295	67721
725	49367	67659
726	49436	67592
727	49505	67526
728	49571	67454
729	49638	67385
730	49706	67318
731	49771	67245
732	49842	67181
733	49910	67113
734	49976	67043
735	50046	66978
736	50113	66909
737	50179	66838
738	50244	66766
739	50307	66691
740	50373	66620
741	50437	66547
742	50501	66474
743	50568	66404
744	50635	66335
745	50706	66271
746	50777	66207
747	50843	66137
748	50907	66063
749	50974	65995
750	51041	65925
751	51105	65852
752	51171	65782
753	51238	65713
754	51300	65637
755	51369	65570
756	51436	65502
757	51506	65436
758	51572	65366
759	51638	65295
760	51704	65225
761	51773	65158
762	51840	65089
763	51910	65024
764	51980	64958
765	52055	64900
766	52128	64837
767	52196	64770
768	52263	64700
769	52328	64628
770	52393	64557
771	52462	64490
772	52529	64421
773	52593	64348
774	52657	64275
775	52728	64212
776	52804	64154
777	52874	64087
778	52942	64019
779	53008	63950
780	53074	63879
781	53140	63809
782	53206	63739
783	53272	63668
784	53338	63598
785	53409	63533
786	53480	63469
787	53551	63405
788	53618	63336
789	53684	63266
790	53750	63195
791	53817	63127
792	53885	63059
793	53951	62989
794	54017	62918
795	54087	62852
796	54156	62786
797	54231	62725
798	54296	62655
799	54362	62584
800	54429	62515
801	54498	62448
802	54563	62377
803	54629	62307
804	54695	62236
805	54764	62170
806	54837	62108
807	54904	62039
808	54974	61974
809	55040	61903
810	55104	61831
811	55171	61762
812	55235	61689
813	55300	61618
814	55366	61549
815	55437	61484
816	55509	61420
817	55576	61352
818	55644	61284
819	55706	61209
820	55771	61138
821	55838	61069
822	55905	61000
823	55969	60927
824	56035	60857
825	56103	60790
826	56173	60724
827	56242	60657
828	56308	60588
829	56378	60521
830	56442	60450
831	56512	60384
832	56580	60316
833	56644	60243
834	56708	60172
835	56773	60101
836	56845	60038
837	56915	59971
838	56983	59903
839	57051	59836
840	57117	59766
841	57185	59698
842	57251	59628
843	57318	59559
844	57383	59489
845	57452	59421
846	57525	59359
847	57594	59292
848	57660	59222
849	57727	59154
850	57799	59089
851	57868	59022
852	57941	58960
853	58005	58888
854	58069	58816
855	58141	58752
856	58213	58689
857	58280	58620
858	58346	58550
859	58414	58482
860	58481	58413
861	58553	58349
862	58617	58278
863	58683	58208
864	58750	58139
865	58820	58073
866	58891	58008
867	58959	57940
868	59026	57871
869	59091	57800
870	59159	57732
871	59232	57669
872	59298	57600
873	59363	57529
874	59426	57457
875	59498	57392
876	59569	57328
877	59637	57259
878	59703	57190
879	59770	57121
880	59835	57051
881	59902	56981
882	59968	56912
883	60035	56843
884	60099	56772
885	60166	56703
886	60236	56637
887	60300	56565
888	60366	56496
889	60430	56424
890	60496	56355
891	60562	56285
892	60625	56212
893	60691	56143
894	60762	56077
895	60835	56014
896	60904	55948
897	60978	55885
898	61043	55815
899	61113	55748
900	61180	55680
901	61246	55611
902	61311	55540
903	61378	55471
904	61445	55402
905	61516	55337
906	61588	55273
907	61657	55206
908	61723	55137
909	61791	55068
910	61855	54998
911	61921	54927
912	61987	54858
913	62053	54788
914	62119	54719
915	62187	54651
916	62260	54588
917	62326	54518
918	62391	54448
919	62458	54379
920	62528	54313
921	62594	54244
922	62663	54177
923	62731	54108
924	62802	54043
925	62880	53984
926	62957	53924
927	63028	53859
928	63097	53792
929	63164	53724
930	63233	53657
931	63308	53594
932	63377	53527
933	63448	53462
934	63520	53398
935	63595	53336
936	63666	53270
937	63735	53203
938	63808	53139
939	63875	53071
940	63944	53004
941	64017	52940
942	64089	52875
943	64158	52808
944	64232	52745
945	64303	52679
946	64371	52612
947	64443	52547
948	64516	52483
949	64582	52414
950	64647	52343
951	64714	52274
952	64781	52205
953	64848	52136
954	64918	52070
955	64988	52004
956	65055	51935
957	65126	51869
958	65192	51800
959	65259	51731
960	65326	51662
961	65391	51592
962	65455	51521
963	65525	51454
964	65593	51387
965	65661	51319
966	65727	51250
967	65792	51179
968	65856	51108
969	65921	51038
970	65988	50969
971	66055	50900
972	66122	50832
973	66191	50765
